iter	Accuracy	Logloss
524	0.8692175899	0.3052051614
525	0.8692175899	0.3049743628
526	0.8697886922	0.3048711063
527	0.8696459166	0.3047338583
528	0.8697886922	0.3045706199
529	0.8702170188	0.3043217606
530	0.8703597944	0.3041961711
531	0.8703597944	0.3040791556
532	0.8706453455	0.3038506706
533	0.8710736722	0.3036103294
534	0.8709308966	0.3033776908
535	0.8709308966	0.3031864361
536	0.8712164477	0.3030037561
537	0.8712164477	0.3028637308
538	0.8712164477	0.3026429803
539	0.8713592233	0.3023442414
540	0.8713592233	0.302074235
541	0.87178755	0.3018571127
542	0.87178755	0.3017779899
543	0.8715019989	0.3015878069
544	0.8716447744	0.3014424745
545	0.87178755	0.3012552491
546	0.8720731011	0.3011196139
547	0.8720731011	0.300886617
548	0.8723586522	0.300717467
549	0.8722158766	0.3005420817
550	0.8725014278	0.3002685738
551	0.8723586522	0.300146437
552	0.8723586522	0.2999744428
553	0.8725014278	0.2998636432
554	0.8732153055	0.2996755921
555	0.8732153055	0.2995929234
556	0.8729297544	0.2993861401
557	0.87307253	0.2992448919
558	0.8732153055	0.2990897643
559	0.8736436322	0.298949351
560	0.8737864078	0.2988018618
561	0.8735008567	0.2986672461
562	0.8739291833	0.2986001191
563	0.8740719589	0.2984285528
564	0.87435751	0.298148469
565	0.8745002856	0.2980368691
566	0.8746430611	0.2979045545
567	0.8746430611	0.2977212328
568	0.8749286122	0.2975026202
569	0.8750713878	0.2974480202
570	0.8749286122	0.297223009
571	0.8749286122	0.2970139002
572	0.8750713878	0.2967811676
573	0.8754997144	0.2966559598
574	0.8754997144	0.2964271451
575	0.87564249	0.2963421836
576	0.87564249	0.2961828709
577	0.8757852656	0.2960463233
578	0.87564249	0.2958455722
579	0.87564249	0.2956533001
580	0.8763563678	0.2954844334
581	0.8762135922	0.2953553962
582	0.8763563678	0.2952021073
583	0.8762135922	0.2950262332
584	0.8762135922	0.2949087802
585	0.8760708167	0.2946928838
586	0.8763563678	0.294501013
587	0.8764991433	0.2944253407
588	0.8766419189	0.2942738493
589	0.8766419189	0.2941839008
590	0.8763563678	0.2941054431
591	0.8766419189	0.2940202768
592	0.8766419189	0.2939089729
593	0.8766419189	0.2937538997
594	0.8764991433	0.2935557079
595	0.8766419189	0.2933343766
596	0.8766419189	0.2931514339
597	0.87692747	0.2929637616
598	0.87692747	0.2928867982
599	0.8770702456	0.2926643067
600	0.8770702456	0.2925833037
601	0.87692747	0.2923900425
602	0.8770702456	0.2921901
603	0.8774985722	0.2920184832
604	0.8776413478	0.2918698845
605	0.8776413478	0.291651843
606	0.8777841234	0.2914871733
607	0.8777841234	0.2914063502
608	0.8773557967	0.2913197523
609	0.8773557967	0.2911340958
610	0.8773557967	0.2909340468
611	0.8774985722	0.290784382
612	0.8773557967	0.2905104718
613	0.8776413478	0.2903745224
614	0.8777841234	0.2901691757
615	0.8777841234	0.289934818
616	0.87821245	0.2897193753
617	0.8780696745	0.289566695
618	0.87821245	0.2894516135
619	0.8783552256	0.2891834146
620	0.87821245	0.2889511886
621	0.8792118789	0.2887365739
622	0.8792118789	0.2885185487
623	0.8790691034	0.288384848
624	0.8792118789	0.2881310079
625	0.8792118789	0.2879586204
626	0.87949743	0.2877326694
627	0.8804968589	0.2874810557
628	0.8803540834	0.2873055797
629	0.8802113078	0.2871265103
630	0.8803540834	0.2869579176
631	0.8803540834	0.2868326449
632	0.8809251856	0.2866363351
633	0.8809251856	0.2864677353
634	0.8810679612	0.2863474006
635	0.8809251856	0.2862103966
636	0.8812107367	0.2860474838
637	0.8813535123	0.2858414309
638	0.8814962878	0.2856428921
639	0.8810679612	0.285524973
640	0.8809251856	0.285408384
641	0.8812107367	0.2852131281
642	0.8809251856	0.28501031
643	0.8813535123	0.2848624532
644	0.8814962878	0.2846668067
645	0.8814962878	0.2845270915
646	0.8816390634	0.284331498
647	0.8819246145	0.284107206
648	0.8820673901	0.2838033985
